"TIME","GEO","GEO_LABEL","INDIC_BT","INDIC_BT_LABEL","NACE_R2","NACE_R2_LABEL","S_ADJ","S_ADJ_LABEL","UNIT","UNIT_LABEL","Value"
"1991Q2","DK","Denmark","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","DK","Denmark","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","DE","Germany (until 1990 former territory of the FRG)","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100","58.5"
"1991Q2","DE","Germany (until 1990 former territory of the FRG)","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100","35.9"
"1991Q2","EE","Estonia","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","EE","Estonia","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","IE","Ireland","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","IE","Ireland","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","EL","Greece","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","EL","Greece","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","ES","Spain","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","ES","Spain","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","FR","France","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","FR","France","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","HR","Croatia","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","HR","Croatia","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","IT","Italy","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","IT","Italy","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","CY","Cyprus","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","CY","Cyprus","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","LV","Latvia","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","LV","Latvia","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","LT","Lithuania","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","LT","Lithuania","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","LU","Luxembourg","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","LU","Luxembourg","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","HU","Hungary","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","HU","Hungary","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","MT","Malta","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","MT","Malta","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","NL","Netherlands","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","NL","Netherlands","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","AT","Austria","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","AT","Austria","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","PL","Poland","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","PL","Poland","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","PT","Portugal","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","PT","Portugal","TOVT","Index of turnover - Total","C29_C30","Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
"1991Q2","RO","Romania","TOVT","Index of turnover - Total","C","Manufacturing","SCA","Seasonally and calendar adjusted data","I15","Index, 2015=100",":"
